NumIterations	Number of Unique Keys	Max Files in each Directory	Min Files in Each Directory	Mean	Median	Standard Deviation
490000	65500	21	1	7.480916030534351	7.0	2.7206171982685454
500000	65504	21	1	7.633121641426478	7.0	2.746675999062764
510000	65509	21	1	7.785189821245936	8.0	2.775811125573241
520000	65509	21	1	7.9378406020546795	8.0	2.802551177715089
530000	65514	22	1	8.089873920078151	8.0	2.8330666216790688
540000	65518	22	1	8.242009829359871	8.0	2.8605860687021636
550000	65521	22	1	8.394255276934112	8.0	2.8869820204713847
560000	65524	22	1	8.546486783468653	8.0	2.9145162759305694
570000	65524	22	1	8.699102618887736	9.0	2.9402965498846787
580000	65528	23	1	8.851178122329387	9.0	2.9648437794336
590000	65530	24	1	9.003509842820083	9.0	2.9918481053119668
600000	65530	24	1	9.156111704562795	9.0	3.016529510269885
610000	65533	24	1	9.308287427708178	9.0	3.0409106549777327
620000	65534	24	1	9.460737937559129	9.0	3.0691625704971406
630000	65534	24	1	9.613330484939116	9.0	3.093574743737888
640000	65534	24	1	9.765923032319101	10.0	3.118584015303641
650000	65535	24	1	9.918364232852674	10.0	3.146045215527177
660000	65535	24	1	10.070954451819638	10.0	3.172130253087495
670000	65535	25	1	10.223544670786602	10.0	3.1959888231118745
680000	65535	26	1	10.376134889753567	10.0	3.2178696214559674
690000	65536	27	1	10.528564453125	10.0	3.2413979821457124
700000	65536	27	1	10.68115234375	11.0	3.2641419689096907
710000	65536	27	1	10.833740234375	11.0	3.2901535489823566
720000	65536	27	1	10.986328125	11.0	3.3150089766667086
730000	65536	27	1	11.138916015625	11.0	3.3366128117368703
740000	65536	27	1	11.29150390625	11.0	3.3578964528221187
750000	65536	28	1	11.444091796875	11.0	3.380473246526229
760000	65536	29	1	11.5966796875	11.0	3.403524025467009
770000	65536	29	1	11.749267578125	12.0	3.4280275311866766
780000	65536	30	1	11.90185546875	12.0	3.4475012852678124
790000	65536	30	1	12.054443359375	12.0	3.4706976208404363
800000	65536	30	1	12.20703125	12.0	3.4921547292925483
810000	65536	30	1	12.359619140625	12.0	3.512434524726833
820000	65536	30	1	12.51220703125	12.0	3.5334233372999
830000	65536	30	1	12.664794921875	12.0	3.5565247116179597
840000	65536	30	1	12.8173828125	13.0	3.580219172369841
850000	65536	30	1	12.969970703125	13.0	3.6029622549869216
860000	65536	30	2	13.12255859375	13.0	3.6254158768022595
870000	65536	30	2	13.275146484375	13.0	3.646267419132006
880000	65536	31	2	13.427734375	13.0	3.6668178064812182
890000	65536	31	2	13.580322265625	13.0	3.687208640985819
900000	65536	31	2	13.73291015625	14.0	3.7086647221371973
910000	65536	31	2	13.885498046875	14.0	3.7270390347825795
920000	65536	32	2	14.0380859375	14.0	3.7477307129142825
930000	65536	33	2	14.190673828125	14.0	3.765619610351251
940000	65536	33	2	14.34326171875	14.0	3.787124956402884
950000	65536	33	2	14.495849609375	14.0	3.8058681575247433
960000	65536	34	2	14.6484375	14.0	3.828156887622293
970000	65536	34	2	14.801025390625	15.0	3.8479544044809955
980000	65536	34	2	14.95361328125	15.0	3.86660937987565
990000	65536	34	2	15.106201171875	15.0	3.8856779382249376
1000000	65536	34	2	15.2587890625	15.0	3.9034930456526364
